WK,VENUE,DATE,WHAT,DEPARTMENT,DAYS COMMITTED,AV Staff,PAC Staff,"SUPPORT 
LEVEL","AUDIO
NEEDS",STAGE NEEDS,LIGHTING NEEDS,PROJECTION,VIDEO RECORDING,LIVE STREAM,AUDIENCE COUNT,PROGRAM,RECEPTION
,Kracum,  2022/04/08,GUEST: Alexander Kobrin,MUSC,1,3,6,L,L,L,L,N,Y,N,250,Y,N
,Kracum,  2022/04/09,Masterclass: Alexander Kobrin,MUSC,1,0,1,L,L,L,L,N,N,N,NA,N,N
,Applebaum,  2022/04/16,Comps Fest,MUSC,1,1,1,L,L,L,L,Y,N,N,52,Y,N
,Kracum,  2022/04/22,Light Lectureship: Jason Trueting,MUSC,1,2,4,M,M,M,M,Y,Y,N,58,Y,N
,Kracum,  2022/04/23,Masterclass: Jason Trueting,MUSC,1,1,1,L,L,L,L,N,N,N,NA,N,N
,Kracum,  2022/04/23,GUEST: Mark Stewart,MUSC,1,2,5,L,M,L,L,N,N,N,66,Y,N
,Applebaum,  2022/04/24,Faculty Recital: Mark Krusemeyer,MUSC,1,1,4,L,L,L,L,N,Y,N,36,Y,N
,Kracum,  2022/04/29,GUEST: Nakamatsu & Manasse Duo,MUSC,1,1,4,L,L,L,L,N,N,N,64,Y,N
,Kracum,  2022/05/01,GUEST: Isles Ensemble,MUSC,1,1,5,L,L,M,L,N,Y,N,45,Y,N
,Kracum,  2022/05/07,GUEST: The Singers,MUSC,1,2,4,H,M,H,L,Y,N,N,121,Y,N
,Kracum,  2022/05/13,Symphony Concert,MUSC,1,2,4,M,L,M,L,Y,Y,Y,101,Y,Y
,Applebaum,  2022/05/14,Senior Voice Recital: Adela Djsikova,MUSC,1,2,4,L,L,L,L,N,Y,N,11,N,N
,Kracum,  2022/05/14,Voice Showcase Recital,MUSC,1,1,5,L,L,L,L,Y,Y,Y,NA,N,N
,Kracum,  2022/05/15,Chinese & Global Music Concert,MUSC,1,3,4,H,H,H,L,N,Y,Y,91,Y,N
,Kracum,  2022/05/17,ODOA: Capella Romana,ODOA & HIST,1,3,4,L,M,L,L,Y,N,N,164,Y,N
,Kracum,  2022/05/20,Jazz & Choir Concert,MUSC,1,4,4,H,H,H,M,N,Y,Y,200,Y,Y
,Applebaum,  2022/05/22,Senior Sita & Voice Recital: Shibui & Liu,MUSC,1,2,3,L,L,L,L,N,Y,N,21,Y,N
,Kracum,  2022/05/25,Piano Studio Recital,MUSC,1,1,4,L,L,L,L,N,Y,Y,47,Y,N
,Applebaum,  2022/05/26,Jazz Chamber Recital,MUSC,1,1,2,H,H,M,L,N,Y,N,94,Y,N
,Kracum,  2022/05/27,Orchestra Concert,MUSC,1,2,5,M,L,H,L,N,Y,Y,266,Y,N
,Applebaum,  2022/05/28,Senior Euphonium & Jazz Recital: Smart & Okada,MUSC,1,2,3,M,H,M,L,N,Y,N,55,Y,N
,Kracum,  2022/05/28,Senior Piano Recital: Takeda & Chen,MUSC,1,3,4,L,L,L,L,N,Y,N,45,Y,N
,Kracum,  2022/05/29,Chamber Music Recital,MUSC,1,1,3,L,L,L,L,N,Y,Y,45,Y,N
,Applebaum,  2022/05/29,Senior Piano Recital: Carly Lo,MUSC,1,1,2,L,L,L,L,N,Y,N,37,Y,N
,Kracum,  2022/05/29,CSA: Knightingales & Accidentals,CSA,1,3,3,M,M,L,M,N,Y,N,NA,N,N
,Applebaum,  2024/05/30,Senior Piano & Jazz Recital: Anders Brodnax,MUSC,1,1,2,L,L,L,L,N,Y,N,NA,Y,N
,Kracum,  2022/05/30,CSA: Exit 69,CSA,1,2,2,L,M,L,M,N,Y,N,76,N,N
,Kracum,  2022/05/31,Composition Showcase Recital,MUSC,1,3,3,M,H,M,M,N,Y,N,31,Y,N
,Applebaum,  2022/06/01,Chinese Music Studio Recital,MUSC,1,1,1,L,L,L,L,N,Y,N,17,Y,N
,Kracum,  2022/06/01,Strings Recital,MUSC,1,1,3,L,L,L,L,N,Y,N,29,Y,N
,Kracum,  2022/06/01,CSA: Singing Knights,CSA,1,3,2,M,M,L,M,Y,Y,N,112,Y,N