WK,VENUE,DATE,WHAT,DEPARTMENT,AUDIENCE COUNT,PROGRAM,RECEPTION,AV Staff,PAC Staff,"SUPPORT 
LEVEL","AUDIO
NEEDS",STAGE NEEDS,LIGHTING NEEDS,PROJECTION,VIDEO RECORDING
,Applebaum,  2020/01/21,GUEST: Katie Dahl,English,86,N,N,2,1,M,M,L,L,N,Y
,Kracum,  2020/01/24,Faculty Piano & Flute Recital: Caviani & Jamsa,MUSC,127,Y,Y,2,4,L,L,L,L,N,Y
,Kracum,  2020/01/25,CSA: Lunar New Year,CSA,205,N,Y,2,2,M,M,M,M,N,Y
,Kracum,  2020/02/14,CSA: Pied Pipers,CSA,50,N,N,2,2,H,L,H,L,N,Y
,Kracum,  2020/02/15,CSA: ACA Night,CSA,129,Y,Y,3,5,H,M,M,M,Y,Y
,Applebaum,  2020/02/20,GUEST: Folk Music Society,MUSC,86,N,Y,1,1,L,L,L,L,N,Y
,Kracum,  2020/02/21,Symphony Concert,MUSC,117,N,N,2,3,M,M,M,L,N,Y
,Applebaum,  2020/02/22,Voice Showcase Recital,MUSC,70,N,N,0,2,L,L,L,L,Y,Y
,Kracum,  2020/02/23,Chinese & Global Music Concert,MUSC,74,Y,N,3,4,H,H,H,L,N,Y
,Kracum,  2020/02/27,Jazz Concert,MUSC,145,Y,N,2,3,H,H,H,L,Y,Y
,Kracum,  2020/03/01,Choir Concert,MUSC,360,Y,N,1,3,M,L,M,L,Y,Y
,Applebaum,  2020/03/02,Jazz Chamber Recital,MUSC,40,N,N,1,1,L,L,L,L,N,Y
,Kracum,  2020/03/04,Piano Studio Recital,MUSC,45,Y,N,0,1,L,L,L,L,N,Y
,Kracum,  2020/11/15,Orchestra Concert,MUSC,247,Y,N,1,4,H,L,H,L,N,Y
,Kracum,  2020/03/07,CSA: Just Cellin',CSA,15,N,N,0,1,L,L,L,L,N,N
,Applebaum,  2020/03/08,Chamber Music Recital,MUSC,68,Y,N,1,2,L,L,L,L,N,Y
,Weitz Commons,  2020/03/10,West African Drum Ensemble,MUSC,NA,N,N,1,1,L,L,L,L,N,N
,M31 & Chapel,  2020/03/10,Organ & Harpsichord Recital,MUSC,21,Y,N,0,1,L,L,L,L,N,Y
,Kracum,  2020/03/10,Composition Showcase Recital,MUSC,31,Y,N,0,2,M,M,M,L,N,Y
,Kracum,  2020/03/11,Strings Recital,MUSC,28,Y,N,1,1,L,L,L,L,N,Y
,Puzak,  2020/03/12,Chinese Music Studio Recital,MUSC,14,Y,N,0,1,L,L,L,L,N,Y
,Kracum,  2020/03/11,CSA: Accidentals & Exit 69,CSA,202,N,N,1,1,M,M,L,L,N,Y