WK,VENUE,DATE,WHAT,DEPARTMENT,DAYS COMMITTED,AV STAFF,PAC STAFF,"SUPPORT 
LEVEL","AUDIO 
NEEDS",STAGE NEEDS,LIGHTING NEEDS,PROJECTION,"VIDEO
RECORDING",LIVESTREAM,AUDIENCE COUNT,POSTER,PROGRAM,RECEPTION
1,Kracum,  2024/01/06,Faculty Recital: Laura Caviani (piano),MUSC,1,3,6,M,L,L,H,Y,Y,N,76,Y,Y,Y
2,Kracum,  2024/01/14,Parents Circle Presentation,Inclusion & Equity,1,3,0,M,H,L,L,Y,Y,N,NA,N,N,N
3,Kracum,  2024/01/17,GUEST: Vijay Iyer - Masterclass,MUSC,1,3,2,L,L,L,L,Y,N,N,NA,N,N,N
,Kracum,  2024/01/18,GUEST: Vijay Iyer Trio - Concert,MUSC,2,2,7,M,H,M,L,N,N,N,200,Y,Y,Y
4,Kracum,  2024/01/28,Piano Faculty Recital,MUSC,1,4,5,L,L,L,L,N,Y,N,82,Y,Y,N
5,Kracum,  2024/02/01,GUEST: Adam Levy Trio - Masterclass,MUSC,1,1,2,L,L,L,L,N,N,N,19,N,N,N
,Kracum,  2024/02/01,GUEST: Adam Levy Trio - Concert,MUSC,1,5,4,M,H,M,L,N,Y,N,95,Y,Y,N
,Kracum,  2024/02/02,CSA: ASIA Lunar New Year - Performance,MUSC,2,6,4,H,H,H,H,N,Y,N,246,N,N,Y
7,Kracum,  2024/02/13,GUEST: Moussa Diallo - Concert,ODOA,1,3,5,L,L,L,L,N,Y,N,110,Y,Y,N
,Applebaum,  2024/02/14,President's Quartly Meeting,Pres. Office,1,2,0,L,L,L,L,Y,Y,N,NA,N,N,
,Applebaum,  2024/02/14,Zhongbei Wu Lecture,MUSC,1,1,1,L,L,L,L,Y,N,N,NA,Y,N,
,Kracum,  2024/02/16,Symphony Concert,MUSC,2,4,4,H,M,H,H,Y,Y,Y,138,Y,Y,N
,Kracum,  2024/02/17,Voice Showcase Recital,MUSC,1,3,3,L,M,L,L,Y,Y,Y,44,Y,Y,Y
,Kracum,  2024/02/18,"Chinese Music Concert w/ GUESTS (erhu, guzheng)",MUSC,2,4,4,H,H,H,L,N,Y,Y,196,Y,Y,N
8,Kracum,  2024/02/22,Jazz Area Concert,MUSC,2,5,5,H,H,H,M,N,Y,Y,114,Y,Y,Y
,Applebaum,  2024/02/22,GUEST: fivebyfive - Lecture,MUSC,1,0,1,L,L,L,L,Y,N,N,NA,N,N,
,Kracum,  2024/02/23,GUEST: fivebyfive,MUSC,1,4,5,H,M,H,M,Y,Y,N,130,Y,Y,N
,Kracum,  2024/02/24,GUEST: fivebyfive Masterclass,MUSC,1,1,1,L,L,L,L,N,N,N,6,N,N,N
,Kracum,  2024/02/25,Choir Concert,MUSC,2,1,4,M,L,H,L,N,Y,Y,130,Y,Y,N
9,Kracum,  2024/02/28,"Piano Studio Recital - Tuning, Rehearsal & Concert",MUSC,1,0,4,L,L,L,L,N,Y,Y,35,Y,Y,N
,Applebaum,  2024/02/29,Jazz Chamber Recital,MUSC,1,2,3,M,M,M,L,NA,NA,NA,60,NA,NA,N
,Applebaum,  2024/02/29,Chinese Music Recital,MUSC,1,2,4,L,L,M,L,N,Y,N,30,Y,Y,N
,Kracum,  2024/03/01,Orchestra Concert,MUSC,2,3,6,H,L,H,H,N,Y,Y,250,Y,Y,N
,Kracum,  2024/03/02,CSA: Just Cellin,CSA,1,2,2,L,L,L,L,N,Y,N,20,N,N,N
,Kracum,  2024/03/03,Chamber Music Recital,MUSC,1,3,4,M,M,H,L,N,Y,Y,27,Y,Y,N
10,Applebaum,  2024/03/05,West African Drum Recital,MUSC,1,0,1,L,L,L,L,N,N,N,38,N,N,N
,Kracum,  2024/03/05,"Composition Showcase Recital - Set Up, Rehearsal & Concert",MUSC,1,3,4,M,M,M,M,N,Y,N,28,Y,Y,N
,Skinner Chapel,  2024/03/05,Organ & Harpichord Recital,MUSC,1,2,2,L,L,L,L,N,Y,N,NA,Y,Y,N
,Kracum,  2024/03/06,Strings Recital,MUSC,1,3,5,L,L,L,L,N,Y,N,27,Y,Y,N
,Applebaum,  2024/03/06,Chinese Music Studio Recital,MUSC,1,2,2,L,L,M,L,N,Y,N,NA,Y,Y,N
,Kracum,  2024/03/08,CSA: Acapella Concert,CSA,1,3,3,M,H,M,H,N,Y,N,235,N,N,N