venue,date,what,department,days_committed,av_staff,pac_staff,support_level,audio_needs,stage_needs,lighting_needs,projection,video_recording,live_stream,audience_count,poster,program,reception,term,livestream,department_type,event_type,year,term_category
Concert Hall,2014-10-10,GUEST: Lake Wobegon Brass Band,MUSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,F14,NA,MUSC,Guest,2014-2015,Fall
Concert Hall,2014-10-12,GUEST: Lucas Concert - JazzAx,MUSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,F14,NA,MUSC,Guest,2014-2015,Fall
Concert Hall,2014-10-26,GUEST: Linda Chatterton Flute Recital,MUSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,F14,NA,MUSC,Guest,2014-2015,Fall
Concert Hall,2014-11-02,GUEST: Red Baraat Concert,MUSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,F14,NA,MUSC,Guest,2014-2015,Fall
Concert Hall,2015-02-06,GUEST: Woodward Concert - Haas & Anoki,MUSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,W15,NA,MUSC,Guest,2014-2015,Winter
Concert Hall,2015-02-08,"GUEST: Anderson, Martin, & Hagedorn",MUSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,W15,NA,MUSC,Guest,2014-2015,Winter
Concert Hall,2015-04-04,GUEST: Ysaÿe Barnwell,MUSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S15,NA,MUSC,Guest,2014-2015,Spring
Concert Hall,2015-04-12,GUEST: Jon Nakamastsu,MUSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S15,NA,MUSC,Guest,2014-2015,Spring
Concert Hall,2015-04-26,"GUEST: Songs of War - R Penning, S Penning, Anderson, Anderegg, Rosenberg, & Melville",MUSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S15,NA,MUSC,Guest,2014-2015,Spring
Concert Hall,2015-05-16,GUEST: Martha Jamsa Flute Recital,MUSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S15,NA,MUSC,Guest,2014-2015,Spring
Concert Hall,2015-05-17,SPCO Concert,MUSC & SPCO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S15,NA,Collab,Guest,2014-2015,Spring
Concert Hall,2015-05-22,GUEST: Haydn Orchestra & Carleton Singers,MUSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S15,NA,MUSC,Guest,2014-2015,Spring
Concert Hall,2016-01-15,GUEST: Greenman & Carleto World Music Chamber Ensemble,MUSC,NA,NA,NA,M,M,M,NA,N,Y,NA,137,NA,Y,Y,W16,NA,MUSC,Guest,2015-2016,Winter
Concert Hall,2016-01-29,GUEST: Mark Kreitzer Band,MUSC,NA,NA,NA,L,L,L,NA,N,Y,NA,83,NA,Y,Y,W16,NA,MUSC,Guest,2015-2016,Winter
Great Hall,2016-02-26,GUEST: Niramala of Friends,MUSC,NA,NA,NA,H,M,H,NA,NA,N,NA,139,NA,Y,Y,W16,NA,MUSC,Guest,2015-2016,Winter
Concert Hall,2016-05-05,GUEST: Diawara,MUSC,NA,NA,NA,H,H,H,NA,N,N,NA,270,NA,N,Y,S16,NA,MUSC,Guest,2015-2016,Spring
Concert Hall,2016-05-08,Voyage of the Seasons,MUSC,NA,NA,NA,L,L,L,NA,N,N,NA,18,NA,Y,Y,S16,NA,MUSC,Guest,2015-2016,Spring
Concert Hall,2016-05-22,GUEST: Burnett & Campbell,MUSC,NA,NA,NA,L,L,L,NA,NA,NA,NA,105,NA,Y,NA,S16,NA,MUSC,Guest,2015-2016,Spring
Concert Hall,2016-09-16,GUEST: Mobius Percussion,MUSC,NA,NA,NA,M,H,L,NA,N,Y,NA,101,NA,Y,Y,F16,NA,MUSC,Guest,2016-2017,Fall
Concert Hall,2016-09-30,GUEST: Duo Mistral,MUSC,NA,NA,NA,L,L,L,NA,N,L,NA,62,NA,Y,Y,F16,NA,MUSC,Guest,2016-2017,Fall
Concert Hall,2016-10-14,Arts + Culture Fest,MUSC,NA,NA,NA,NA,L,NA,NA,NA,Y,NA,350,NA,NA,NA,F16,NA,MUSC,Guest,2016-2017,Fall
Concert Hall,2016-10-16,Woodward Concert Series: Larence Colloquium and Concert,MUSC,NA,NA,NA,L,L,L,NA,N,Y,NA,93,NA,Y,Y,F16,NA,MUSC,Guest,2016-2017,Fall
Basilica of St. Mary,2016-11-05,"Men's Choir, Bella, Jubilet",MUSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,Y,NA,F16,NA,MUSC,Guest,2016-2017,Fall
Concert Hall,2017-01-15,GUEST: Contemporary Voices from Latin America,MUSC,NA,NA,NA,L,L,L,NA,N,Y,NA,64,NA,Y,Y,W17,NA,MUSC,Guest,2016-2017,Winter
Chapel,2017-01-20,SPCO Concert,MUSC,NA,NA,NA,H,L,H,NA,N,N,NA,388,NA,Y,N,W17,NA,MUSC,Guest,2016-2017,Winter
Concert Hall,2017-02-01,GUEST: Beijing Bamboo Orchestra,MUSC,NA,NA,NA,L,L,L,NA,Y,Y,NA,NA,NA,N,N,W17,NA,MUSC,Guest,2016-2017,Winter
Weitz Cinema,2017-02-09,Laudie Porter Concert Series: Montage - Gloria Cheng,MUSC,NA,NA,NA,L,L,L,NA,Y,N,NA,NA,NA,Y,Y,W17,NA,MUSC,Guest,2016-2017,Winter
Concert Hall,2017-04-28,GUEST: Malcol Bilson,MUSC,NA,NA,NA,L,L,L,NA,N,N,NA,102,NA,Y,Y,S17,NA,MUSC,Guest,2016-2017,Spring
Kracum,2017-10-13,GUEST: MONK! - Laura Caviani,MUSC,NA,NA,NA,M,M,M,L,N,N,NA,NA,NA,Y,Y,F17,NA,MUSC,Guest,2017-2018,Fall
Kracum,2017-10-25,"GUEST: Still, Amber Mackey",MUSC,NA,NA,NA,H,L,H,L,N,N,NA,NA,NA,Y,NA,F17,NA,MUSC,Guest,2017-2018,Fall
Kracum,2018-02-09,GUEST: Anna Meredith Concert,MUSC,NA,NA,NA,M,M,M,L,Y,N,NA,160,NA,N,Y,W18,NA,MUSC,Guest,2017-2018,Winter
Kracum,2018-04-07,GUEST: The Singers Concert,MUSC,NA,NA,NA,M,L,M,L,N,Y,NA,190,NA,N,N,S18,NA,MUSC,Guest,2017-2018,Spring
Kracum,2018-02-22,GUEST: Music for Two Pianos,MUSC,NA,NA,NA,L,L,L,L,N,Y,NA,78,NA,Y,N,S18,NA,MUSC,Guest,2017-2018,Spring
Kracum,2018-04-28,GUEST: Issam Rafea Concert,MUSC,NA,NA,NA,L,L,L,L,N,Y,NA,116,NA,N,Y,S18,NA,MUSC,Guest,2017-2018,Spring
Kracum,2018-05-02,GUEST: SPCO Concert,MUSC,NA,NA,NA,H,L,H,H,N,N,NA,374,NA,Y,Y,S18,NA,MUSC,Guest,2017-2018,Spring
Kracum,2018-05-09,GUEST: Jonathan Kreisberg Trio,MUSC,NA,NA,NA,L,L,L,L,N,Y,NA,90,NA,Y,N,S18,NA,MUSC,Guest,2017-2018,Spring
Kracum,2018-05-15,GUEST: Bhairav Se Bhairavi Tak,MUSC,NA,NA,NA,M,M,M,L,N,N,NA,90,NA,N,Y,S18,NA,MUSC,Guest,2017-2018,Spring
Kracum,2018-11-02,GUEST: New Zealand String Quartet,MUSC,NA,NA,NA,L,L,L,L,N,N,NA,214,NA,Y,Y,F18,NA,MUSC,Guest,2018-2019,Fall
Kracum,2019-02-01,GUEST: Cipher,MUSC,NA,1,2,L,L,L,L,N,Y,NA,78,NA,N,N,W19,NA,MUSC,Guest,2018-2019,Winter
Kracum,2019-02-26,Choir Concert & GUEST: Newcomer,MUSC,NA,1,2,M,M,M,L,N,Y,NA,225,NA,Y,N,W19,NA,MUSC,Guest,2018-2019,Winter
Kracum,2019-03-02,SPCO,MUSC & SPCO,NA,1,7,M,L,H,L,N,N,NA,351,NA,Y,N,W19,NA,Collab,Guest,2018-2019,Winter
Kracum,2019-03-23,GUEST: Macalester Choir Concert,MUSC,NA,1,2,M,L,M,L,N,N,NA,24,NA,N,N,S19,NA,MUSC,Guest,2018-2019,Spring
Kracum,2019-04-06,GUEST: Minnesota Dance Theater,MUSC,NA,1,5,H,L,H,H,Y,Y,NA,396,NA,Y,N,S19,NA,MUSC,Guest,2018-2019,Spring
Kracum,2019-05-11,GUEST: Yair Dalal and Dror Sinai,MUSC,NA,1,1,M,M,L,L,N,Y,NA,95,NA,N,N,S19,NA,MUSC,Guest,2018-2019,Spring
Kracum,2019-09-27,GUEST: William Chapman Nyaho Concert,MUSC,NA,1,3,L,L,L,L,N,N,NA,76,NA,Y,N,F19,NA,MUSC,Guest,2019-2020,Fall
Kracum,2019-10-25,GUEST: Atlantis Quartet,MUSC,NA,2,2,M,M,L,L,N,Y,NA,80,NA,N,N,F19,NA,MUSC,Guest,2019-2020,Fall
Kracum,2019-10-31,SPCO Concert,MUSC & SPCO,NA,1,7,H,L,H,L,N,N,NA,400,NA,N,N,F19,NA,Collab,Guest,2019-2020,Fall
Applebaum,2019-11-11,GUEST: Pete McCann Quartet,MUSC,NA,1,2,M,M,M,L,N,Y,NA,40,NA,Y,N,F19,NA,MUSC,Guest,2019-2020,Fall
Applebaum,2020-02-20,GUEST: Folk Music Society,MUSC,NA,1,1,L,L,L,L,N,Y,NA,86,NA,N,Y,W20,NA,MUSC,Guest,2019-2020,Winter
Kracum,2021-10-15,GUEST: Randall Scarlata & Nikki Melville,MUSC,1,2,3,L,L,L,L,Y,Y,Y,120,NA,N,N,F21,NA,MUSC,Guest,2021-2022,Fall
Kracum,2021-10-08,GUEST: Issam Rafea & Gao,MUSC,1,2,4,L,L,L,L,N,Y,N,81,NA,N,Y,F21,NA,MUSC,Guest,2021-2022,Fall
Kracum,2022-04-08,GUEST: Alexander Kobrin,MUSC,1,3,6,L,L,L,L,N,Y,N,250,NA,Y,N,S22,NA,MUSC,Guest,2021-2022,Spring
Kracum,2022-04-23,GUEST: Mark Stewart,MUSC,1,2,5,L,M,L,L,N,N,N,66,NA,Y,N,S22,NA,MUSC,Guest,2021-2022,Spring
Kracum,2022-04-29,GUEST: Nakamatsu & Manasse Duo,MUSC,1,1,4,L,L,L,L,N,N,N,64,NA,Y,N,S22,NA,MUSC,Guest,2021-2022,Spring
Kracum,2022-05-01,GUEST: Isles Ensemble,MUSC,1,1,5,L,L,M,L,N,Y,N,45,NA,Y,N,S22,NA,MUSC,Guest,2021-2022,Spring
Kracum,2022-05-07,GUEST: The Singers,MUSC,1,2,4,H,M,H,L,Y,N,N,121,NA,Y,N,S22,NA,MUSC,Guest,2021-2022,Spring
Kracum,2022-10-13,GUEST: SPCO,MUSC,1,1,4,H,L,H,L,N,N,N,226,Y,N,N,F22,NA,MUSC,Guest,2022-2023,Fall
Kracum,2023-01-15,GUEST: Erin Keefe Concert,MUSC,2,1,5,L,L,L,L,N,Y,NA,99,Y,Y,N,W23,N,MUSC,Guest,2022-2023,Winter
Kracum,2023-02-04,EDN Concert,MUSC,1,3,5,H,H,H,M,N,Y,NA,NA,Y,Y,N,W23,N,MUSC,Guest,2022-2023,Winter
Applebaum,2023-02-11,GUEST: Joan Griffith,MUSC,1,2,4,L,L,L,L,N,Y,NA,40,Y,Y,N,W23,N,MUSC,Guest,2022-2023,Winter
Kracum,2023-02-17,Symphony & GUEST: CSB Concert,MUSC,2,4,6,H,M,H,M,N,Y,NA,130,Y,Y,N,W23,Y,MUSC,Guest,2022-2023,Winter
Kracum,2023-04-07,GUEST: Sara Davis Buechner - Concert,MUSC,1,3,5,L,L,L,L,N,Y,NA,112,Y,Y,N,S23,N,MUSC,Guest,2022-2023,Spring
Kracum,2023-04-15,GUEST: Leonard Jacome - Concert,MUSC,1,4,4,M,H,M,M,N,Y,NA,96,Y,Y,N,S23,N,MUSC,Guest,2022-2023,Spring
Kracum,2023-04-28,GUEST: Emery Stephens - Concert,MUSC,3,4,6,H,M,M,H,Y,Y,NA,54,N,Y,N,S23,N,MUSC,Guest,2022-2023,Spring
Kracum,2023-05-07,"Rodman Electric Theater, 1923 - Concert",MUSC,2,4,6,L,L,L,M,Y,Y,NA,67,Y,Y,N,S23,N,MUSC,Guest,2022-2023,Spring
Kracum,2023-05-14,GUEST:  Bamako Foli Concert,MUSC,2,4,6,M,L,L,L,N,Y,NA,135,Y,N,N,S23,N,MUSC,Guest,2022-2023,Spring
Kracum,2023-09-29,GUEST: Laura Viers - Concert (guitar & voice),MUSC,1,3,5,L,M,L,M,N,Y,NA,50,Y,Y,Y,F23,N,MUSC,Guest,2023-2024,Fall
Kracum,2023-10-06,GUEST: Sequentia - Concert (voice),HIST & ODOA & MUSC,2,3,6,L,L,L,L,Y,Y,NA,187,Y,Y,N,F23,N,Collab,Guest,2023-2024,Fall
Kracum,2023-10-08,"GUEST: Helen Chang Concert (violin, piano, cello)",MUSC,2,2,6,L,L,L,L,N,Y,NA,43,Y,Y,Y,F23,N,MUSC,Guest,2023-2024,Fall
Kracum,2023-10-19,GUEST: SPCO - Concert,MUSC,1,2,5,M,L,H,L,N,N,NA,260,Y,N,N,F23,N,MUSC,Guest,2023-2024,Fall
Kracum,2023-10-29,GUEST: Voces8 - Concert,MUSC,1,2,9,H,L,H,H,N,Y,NA,277,Y,Y,Y,F23,N,MUSC,Guest,2023-2024,Fall
Kracum,2023-10-31,GUEST: Sophie Lukacs Concert (kora),MUSC & ODOA,1,0,1,L,L,L,L,NA,NA,NA,60,N,N,N,F23,NA,Collab,Guest,2023-2024,Fall
Kracum,2024-01-18,GUEST: Vijay Iyer Trio - Concert,MUSC,2,2,7,M,H,M,L,N,N,NA,200,Y,Y,Y,W24,N,MUSC,Guest,2023-2024,Winter
Kracum,2024-02-01,GUEST: Adam Levy Trio - Concert,MUSC,1,5,4,M,H,M,L,N,Y,NA,95,Y,Y,N,W24,N,MUSC,Guest,2023-2024,Winter
Kracum,2024-02-18,"Chinese Music Concert w/ GUESTS (erhu, guzheng)",MUSC,2,4,4,H,H,H,L,N,Y,NA,196,Y,Y,N,W24,Y,MUSC,Guest,2023-2024,Winter
Kracum,2024-02-23,GUEST: fivebyfive,MUSC,1,4,5,H,M,H,M,Y,Y,NA,130,Y,Y,N,W24,N,MUSC,Guest,2023-2024,Winter
Kracum,2024-04-05,GUEST: Susanne Farrin & EDN - Concert,MUSC,3,4,6,H,H,M,H,N,Y,NA,50,N,N,Y,S24,N,MUSC,Guest,2023-2024,Spring
Kracum,2024-04-12,GUEST: Christopher Taylor - Concert (piano),MUSC,2,3,5,L,L,M,L,N,Y,NA,133,Y,Y,N,S24,N,MUSC,Guest,2023-2024,Spring
Kracum,2024-04-20,GUEST: Les Arrivants,MUSC,1,3,6,M,H,M,L,N,Y,NA,55,Y,Y,N,S24,N,MUSC,Guest,2023-2024,Spring
Kracum,2024-05-11,GUEST: Charlie Parr,MUSC,1,3,4,M,M,M,L,N,N,NA,27,N,N,Y,S24,N,MUSC,Guest,2023-2024,Spring
